feature_idx,specificity_score,n_associations,strongest_qvalue,strongest_association,attr_type
73,0.3333333333333333,4,2.6405396192196996e-05,cell_type,categorical
74,1.0,2,2.7959105627320696e-06,pct_ribo,continuous
75,1.0,2,7.573929120292113e-08,cell_type,categorical
76,0.1111111111111111,10,5.411099364618221e-07,n_genes,continuous
77,1.0,1,3.4252001141567005e-07,cell_type,categorical
78,0.5,3,1.965637339461115e-09,cell_type,categorical
79,1.0,2,1.3126554309124271e-08,cell_type,categorical
80,1.0,2,5.9221333645395296e-05,cell_type,categorical
81,0.5,3,4.940229270229292e-07,cell_type,categorical
83,1.0,1,2.0466206232367296e-06,cell_type,categorical
84,1.0,1,5.8867702063580974e-05,cell_type,categorical
85,1.0,1,0.002841534406595664,cell_type,categorical
86,0.3333333333333333,4,2.150415091284182e-09,cell_type,categorical
87,1.0,2,1.2123183845540534e-06,cell_type,categorical
88,0.5,3,8.797125586582467e-06,cell_type,categorical
89,1.0,2,3.403014722354856e-08,cell_type,categorical
90,0.25,5,2.9010620231921044e-08,Inflammation_Response,continuous
91,0.14285714285714285,7,0.0030431865809484194,n_genes,continuous
92,0.125,9,4.217807664875049e-17,n_counts,continuous
93,1.0,1,0.006895059570627999,cell_type,categorical
94,1.0,2,0.041470524918868525,pct_ribo,continuous
95,0.1,11,6.174478969289589e-37,n_genes,continuous
97,0.125,8,8.33047599381224e-08,Oxidative_Phosphorylation,continuous
99,1.0,1,0.0009208606901395391,cell_type,categorical
100,0.14285714285714285,7,4.413546847864683e-06,DNA_Repair,continuous
101,0.5,3,1.5571758984715158e-06,cell_type,categorical
102,0.1111111111111111,9,0.0005699657882250288,n_genes,continuous
103,0.3333333333333333,4,1.3847306930910563e-05,cell_type,categorical
104,1.0,2,6.823166259812119e-08,cell_type,categorical
105,1.0,2,0.0002476706667309695,cell_type,categorical
106,1.0,1,0.0022993104292796857,cell_type,categorical
107,0.5,3,2.4499535646644644e-08,cell_type,categorical
108,0.125,10,1.865983720068593e-24,n_counts,continuous
109,1.0,2,3.078086837861638e-05,cell_type,categorical
111,0.2,6,3.122199040589371e-09,Inflammation_Response,continuous
112,1.0,1,0.008141235994094971,Inflammation_Response,continuous
113,1.0,2,1.1368687183973052e-08,cell_type,categorical
114,1.0,1,0.00961728991316066,cell_type,categorical
115,0.5,3,7.074618589108611e-12,Inflammation_Response,continuous
116,1.0,1,0.0036450174448325063,cell_type,categorical
117,0.3333333333333333,4,0.00012975172805079698,cell_type,categorical
118,0.1111111111111111,10,1.9598470282078197e-17,n_genes,continuous
119,1.0,1,2.543061044162223e-07,cell_type,categorical
120,1.0,2,1.7501128722974228e-06,cell_type,categorical
121,0.5,3,2.6017025435531494e-06,cell_type,categorical
122,0.5,3,0.0013108179128396944,cell_type,categorical
123,1.0,2,5.332968389922468e-05,cell_type,categorical
124,0.25,4,5.391322056394445e-07,pct_mito,continuous
125,1.0,2,5.089613771322173e-05,cell_type,categorical
126,1.0,2,0.008167989895871218,pct_ribo,continuous
127,0.5,3,0.00017189488252964267,cell_type,categorical
128,0.5,3,8.833963928167524e-06,cell_type,categorical
129,0.5,2,0.0005081782106202679,cell_type,categorical
130,0.2,6,3.4559159926191485e-08,Inflammation_Response,continuous
131,0.2,6,5.67864068906468e-16,Inflammation_Response,continuous
132,1.0,2,0.00034905590504850464,cell_type,categorical
133,0.1111111111111111,10,1.5958897425460516e-39,n_counts,continuous
134,0.125,8,2.3839253359145816e-07,n_genes,continuous
135,0.5,3,6.415370763046457e-06,cell_type,categorical
136,1.0,1,4.158125236273079e-06,cell_type,categorical
137,0.5,3,9.170694582000927e-09,cell_type,categorical
138,0.25,5,4.188034585832891e-06,cell_type,categorical
139,0.1111111111111111,11,3.1346730131101175e-08,Inflammation_Response,continuous
140,1.0,1,0.040645273132639506,cell_type,categorical
141,1.0,2,2.3262993221676577e-10,cell_type,categorical
142,0.16666666666666666,7,1.2410975732267751e-06,S_score,continuous
144,0.125,9,1.902967761134799e-11,Apoptosis,continuous
145,1.0,2,4.73427527911144e-05,cell_type,categorical
147,0.5,3,0.000505732939263269,cell_type,categorical
148,1.0,2,8.154511297565604e-05,pct_ribo,continuous
149,1.0,2,1.545340218254763e-07,cell_type,categorical
150,1.0,1,4.932965444971056e-05,cell_type,categorical
151,1.0,2,2.707450109765204e-08,cell_type,categorical
152,1.0,2,0.0015801500915810834,cell_type,categorical
153,0.1111111111111111,10,1.5093958730659805e-06,Inflammation_Response,continuous
154,1.0,1,1.2482993079034987e-05,cell_type,categorical
155,0.3333333333333333,4,3.500116328478495e-08,cell_type,categorical
156,1.0,2,7.210299493558541e-08,cell_type,categorical
159,0.5,3,6.339386838012465e-10,cell_type,categorical
160,1.0,1,0.03239780132190008,Inflammation_Response,continuous
161,1.0,1,0.00015605621286380136,cell_type,categorical
162,0.5,3,1.8802115431849827e-09,cell_type,categorical
163,1.0,1,0.011814319867689337,cell_type,categorical
164,1.0,1,4.901506985315819e-07,cell_type,categorical
165,0.5,3,0.001496002037151225,pct_ribo,continuous
166,1.0,2,0.0015967661944400137,cell_type,categorical
167,1.0,1,0.021709345044246733,cell_type,categorical
168,1.0,2,2.5412342544820447e-09,cell_type,categorical
169,0.5,3,5.745156125229768e-07,cell_type,categorical
170,0.1111111111111111,10,9.706329775265187e-13,n_genes,continuous
171,1.0,2,0.000206434113811233,cell_type,categorical
172,0.14285714285714285,8,0.00020099932321717963,DNA_Repair,continuous
173,0.25,5,4.70791703542414e-09,cell_type,categorical
174,0.5,3,4.1939905341498195e-09,cell_type,categorical
175,1.0,2,0.02817853382455367,cell_type,categorical
176,1.0,1,0.004026541292119413,Inflammation_Response,continuous
177,1.0,2,8.325900990752632e-05,cell_type,categorical
178,1.0,2,4.411460247980715e-08,cell_type,categorical
179,0.2,6,8.799319161147275e-11,cell_type,categorical
180,1.0,2,0.00026446724273693976,cell_type,categorical
181,1.0,2,0.0003618503727286967,cell_type,categorical
182,1.0,2,0.00010302025285973311,Inflammation_Response,continuous
183,1.0,2,5.827946706239822e-09,cell_type,categorical
184,0.5,3,5.409741472243392e-10,cell_type,categorical
185,0.2,6,1.2850520482642944e-05,pct_ribo,continuous
186,0.1111111111111111,10,5.645683964855556e-07,n_counts,continuous
188,1.0,1,0.005472126837912888,cell_type,categorical
190,0.16666666666666666,7,0.003587888464477935,n_counts,continuous
191,0.3333333333333333,4,7.015543076329714e-10,cell_type,categorical
192,0.5,3,1.416122415129446e-08,cell_type,categorical
193,1.0,1,3.315893767840986e-06,cell_type,categorical
194,0.125,9,2.4938499482406473e-17,n_genes,continuous
195,1.0,1,1.8432096129857383e-05,pct_ribo,continuous
196,1.0,2,0.0006092341390603262,cell_type,categorical
198,0.1111111111111111,10,8.675911768977778e-23,Oxidative_Phosphorylation,continuous
199,0.5,3,4.236182922425441e-06,cell_type,categorical
200,1.0,1,0.00034672208343819466,cell_type,categorical
201,0.5,3,2.5294292467130013e-08,cell_type,categorical
203,1.0,2,0.00477265409169807,cell_type,categorical
204,0.5,3,0.0022376763602724135,cell_type,categorical
205,0.125,9,3.963128979991938e-05,n_counts,continuous
206,0.25,5,5.546977401349721e-10,cell_type,categorical
208,1.0,2,0.0017178898269358232,cell_type,categorical
209,0.5,3,2.0336387135674566e-07,cell_type,categorical
211,1.0,2,7.837665754985519e-07,cell_type,categorical
212,0.5,3,2.2394373658632248e-08,cell_type,categorical
213,1.0,2,0.016151110718510088,pct_ribo,continuous
215,0.2,6,8.298827385079743e-09,cell_type,categorical
216,1.0,1,0.007402251734925432,cell_type,categorical
217,1.0,2,6.443299922559172e-07,cell_type,categorical
218,0.14285714285714285,7,4.19765890821944e-08,Apoptosis,continuous
219,1.0,2,2.3935987212472692e-05,cell_type,categorical
220,0.14285714285714285,8,8.661217167512034e-07,Oxidative_Phosphorylation,continuous
221,1.0,1,0.0007973434265343718,cell_type,categorical
222,0.3333333333333333,4,0.00015608529810362106,cell_type,categorical
223,1.0,2,0.004216879644674839,cell_type,categorical
224,1.0,2,0.005651895039866614,cell_type,categorical
225,0.3333333333333333,4,7.078511012579668e-08,cell_type,categorical
226,0.5,4,5.0883834743037105e-11,cell_type,categorical
227,1.0,2,1.0896270077640928e-08,cell_type,categorical
228,1.0,2,1.483340861401978e-06,cell_type,categorical
229,0.3333333333333333,4,1.2606061281097325e-06,cell_type,categorical
230,0.16666666666666666,7,4.925908742322698e-05,Apoptosis,continuous
231,0.25,5,5.873027148502129e-08,Oxidative_Phosphorylation,continuous
232,1.0,2,5.359177856868912e-07,cell_type,categorical
233,1.0,1,5.129822559404947e-05,cell_type,categorical
234,1.0,1,0.009819422749741947,cell_type,categorical
235,1.0,1,6.959526713108734e-11,cell_type,categorical
236,0.1111111111111111,10,2.4112714293804834e-13,n_genes,continuous
237,1.0,1,3.734160962591018e-05,cell_type,categorical
238,1.0,1,0.01680083686332612,cell_type,categorical
239,1.0,1,5.346041186788944e-05,cell_type,categorical
240,1.0,1,0.002725615621309054,cell_type,categorical
241,0.5,3,3.5646094166195347e-07,cell_type,categorical
242,0.5,3,3.15508546405319e-06,cell_type,categorical
243,1.0,2,4.142682170210637e-07,cell_type,categorical
244,1.0,1,0.01090135435143665,cell_type,categorical
245,1.0,1,5.954017664266806e-07,cell_type,categorical
246,1.0,2,8.250430908586165e-07,cell_type,categorical
247,1.0,1,0.0003689743199297664,cell_type,categorical
248,1.0,2,2.3085947673534498e-05,Inflammation_Response,continuous
249,1.0,2,8.571503385621609e-14,Inflammation_Response,continuous
250,0.5,3,8.3429147733311e-09,cell_type,categorical
251,0.5,3,6.845178949410705e-10,cell_type,categorical
253,1.0,1,5.0648764343875885e-05,cell_type,categorical
254,1.0,2,0.0007771075848471725,cell_type,categorical
255,0.5,3,0.00034805002715969125,cell_type,categorical
256,1.0,2,0.00037765097513301816,cell_type,categorical
257,1.0,2,7.387043991226476e-09,cell_type,categorical
258,0.5,3,3.347625610954131e-06,cell_type,categorical
259,1.0,2,0.021882905547798478,cell_type,categorical
260,0.14285714285714285,8,3.825949170872108e-08,cell_type,categorical
261,0.3333333333333333,4,4.459928782465511e-07,cell_type,categorical
262,1.0,1,0.038081062503832516,cell_type,categorical
264,1.0,2,2.431916444656585e-09,pct_ribo,continuous
265,0.5,3,6.020119019592516e-07,cell_type,categorical
266,1.0,2,0.0003158608352658275,cell_type,categorical
267,1.0,2,7.529584117167987e-06,cell_type,categorical
268,1.0,2,5.177610681005405e-06,cell_type,categorical
269,1.0,2,3.644903756451307e-05,cell_type,categorical
270,1.0,1,2.8090244338241545e-08,cell_type,categorical
271,0.125,8,9.475360897384987e-06,n_genes,continuous
272,0.14285714285714285,7,0.0016394856683208218,n_genes,continuous
273,0.5,3,2.567196285882147e-11,cell_type,categorical
274,1.0,1,0.00011599436193125552,cell_type,categorical
275,1.0,2,6.520378499471554e-07,Inflammation_Response,continuous
276,0.16666666666666666,7,1.63187058466653e-07,DNA_Repair,continuous
277,1.0,2,2.679417661888441e-10,Inflammation_Response,continuous
278,1.0,2,0.00011450070005688521,cell_type,categorical
280,0.25,5,5.9198832332452775e-05,Oxidative_Phosphorylation,continuous
281,0.5,3,3.447868238160007e-10,cell_type,categorical
282,1.0,1,0.005506213073060012,Inflammation_Response,continuous
283,0.1111111111111111,10,9.174517080278907e-18,Apoptosis,continuous
284,0.16666666666666666,7,8.150790411157172e-09,G2M_score,continuous
285,1.0,1,0.0026586451291253084,cell_type,categorical
286,0.2,6,2.223156313522975e-07,cell_type,categorical
287,1.0,2,8.368115187973862e-05,Inflammation_Response,continuous
288,1.0,2,0.0006059830233577091,Inflammation_Response,continuous
290,1.0,1,4.4349106933277845e-08,cell_type,categorical
291,1.0,1,0.00012998577666332287,cell_type,categorical
292,1.0,2,3.657695447541639e-10,Inflammation_Response,continuous
294,1.0,1,0.0002573712961880053,cell_type,categorical
295,0.1111111111111111,9,9.062939803924502e-10,n_genes,continuous
296,0.5,2,0.007511154247856285,G2M_score,continuous
297,1.0,2,0.0035467891411277664,cell_type,categorical
298,1.0,2,5.251734731193998e-10,cell_type,categorical
299,1.0,2,2.2082889468127507e-11,Inflammation_Response,continuous
300,0.5,3,0.00023740650082902865,cell_type,categorical
301,0.5,3,1.0608317224249557e-06,Inflammation_Response,continuous
302,0.3333333333333333,4,0.00010061774150768712,pct_mito,continuous
303,0.3333333333333333,4,6.432856049231637e-07,Inflammation_Response,continuous
304,1.0,1,1.778149087442068e-08,cell_type,categorical
305,1.0,2,0.0012536159302949555,cell_type,categorical
306,0.5,3,5.0941103465802785e-05,cell_type,categorical
307,0.14285714285714285,8,1.5234059330018e-07,pct_mito,continuous
308,1.0,2,3.086573081550112e-12,Inflammation_Response,continuous
309,1.0,2,0.00021679658641331383,cell_type,categorical
310,0.5,3,5.154907947984846e-10,cell_type,categorical
311,0.2,6,5.164090262512055e-08,cell_type,categorical
312,0.3333333333333333,4,4.762758081547644e-08,cell_type,categorical
313,1.0,2,7.409508609146104e-06,cell_type,categorical
314,0.125,9,4.454154203042072e-17,n_counts,continuous
315,0.5,3,3.844698823841017e-08,cell_type,categorical
316,1.0,2,8.270749506355659e-05,cell_type,categorical
317,1.0,1,1.1318693648929793e-09,cell_type,categorical
318,1.0,2,3.1822784648037865e-09,cell_type,categorical
319,1.0,1,0.00413823261902537,cell_type,categorical
320,1.0,2,1.6226511686559248e-09,pct_ribo,continuous
321,0.5,3,2.0405768029488377e-06,Inflammation_Response,continuous
324,1.0,2,0.00021797239816897355,cell_type,categorical
326,0.25,5,4.389944606624546e-05,Oxidative_Phosphorylation,continuous
327,1.0,2,0.0005400166387645826,cell_type,categorical
328,0.5,3,1.6885898595077177e-08,cell_type,categorical
329,0.2,6,1.6337723993208528e-08,cell_type,categorical
330,0.5,3,0.00012314316335173335,cell_type,categorical
331,1.0,1,0.048383848901256056,Inflammation_Response,continuous
332,0.5,3,6.309026548517522e-06,cell_type,categorical
333,0.5,3,6.0595388489870454e-06,cell_type,categorical
334,0.14285714285714285,8,2.4788983369716846e-09,cell_type,categorical
335,0.14285714285714285,7,9.344846438462456e-05,n_counts,continuous
336,1.0,2,0.000208697740622617,cell_type,categorical
337,0.25,5,5.499817930305614e-11,cell_type,categorical
338,0.25,5,8.890175402671572e-07,cell_type,categorical
339,1.0,2,0.01914608860640016,cell_type,categorical
340,1.0,2,3.427535630685646e-08,cell_type,categorical
341,0.5,3,3.534470247367211e-07,pct_ribo,continuous
342,0.5,3,4.1707058701277667e-07,cell_type,categorical
343,1.0,2,2.1386935425052242e-05,cell_type,categorical
344,1.0,1,0.00019438886338536113,cell_type,categorical
345,1.0,2,0.0029109061522114865,cell_type,categorical
346,0.5,3,0.0008289175065057821,cell_type,categorical
347,0.125,9,1.035781759442388e-14,n_counts,continuous
348,1.0,2,0.007063091902439947,pct_ribo,continuous
349,0.5,3,1.7488857830781143e-06,cell_type,categorical
350,1.0,1,2.9159702908967357e-06,cell_type,categorical
351,1.0,1,4.089057079192102e-05,cell_type,categorical
352,1.0,1,0.004565125182348863,cell_type,categorical
353,0.1111111111111111,10,1.1213903612010357e-26,n_genes,continuous
354,1.0,2,1.6174571866744183e-05,cell_type,categorical
355,1.0,2,6.393675951369968e-06,cell_type,categorical
356,0.5,3,3.5749247024251617e-06,pct_ribo,continuous
358,1.0,1,0.009658189806831816,Inflammation_Response,continuous
359,1.0,2,1.8377259257320586e-12,Inflammation_Response,continuous
360,0.5,3,5.96585763630458e-09,pct_ribo,continuous
361,0.3333333333333333,4,0.004211524273968353,cell_type,categorical
362,1.0,2,4.807770751613628e-05,cell_type,categorical
363,1.0,2,6.587645776881495e-06,cell_type,categorical
364,0.3333333333333333,5,0.0008318369386053146,S_score,continuous
365,0.5,3,1.317854954578215e-06,cell_type,categorical
366,0.5,3,0.0010890956887397308,pct_ribo,continuous
367,0.25,5,7.044401124561373e-10,cell_type,categorical
368,0.2,6,1.6502212715086924e-07,Oxidative_Phosphorylation,continuous
369,1.0,2,2.2127172090574502e-08,cell_type,categorical
370,1.0,2,2.521941350377093e-07,pct_ribo,continuous
371,0.16666666666666666,7,0.00034379438409967364,Oxidative_Phosphorylation,continuous
372,1.0,2,3.2437900840577117e-09,cell_type,categorical
373,0.5,3,0.00043722912989755243,cell_type,categorical
374,1.0,1,0.013644053268219132,Inflammation_Response,continuous
375,1.0,1,0.0011731005871138524,cell_type,categorical
376,0.3333333333333333,4,0.0018100573866848782,cell_type,categorical
377,1.0,1,2.0778292696869345e-07,cell_type,categorical
378,1.0,1,0.005736364640323722,cell_type,categorical
379,1.0,1,0.0013516523990696903,cell_type,categorical
380,0.5,3,4.1880808177154463e-11,cell_type,categorical
381,0.5,3,0.0003521186423612093,cell_type,categorical
382,1.0,2,1.2548231812306379e-09,cell_type,categorical
383,1.0,2,1.358672106821817e-07,cell_type,categorical
384,1.0,2,7.094533617721282e-05,cell_type,categorical
385,1.0,1,9.452392106479969e-08,cell_type,categorical
386,0.1111111111111111,10,1.4763156020174694e-06,cell_type,categorical
387,1.0,1,0.0034538858925862556,cell_type,categorical
388,1.0,1,3.292781343369753e-06,cell_type,categorical
389,0.5,3,8.088876074449883e-08,Inflammation_Response,continuous
390,0.5,3,4.41603791558214e-08,cell_type,categorical
391,1.0,2,4.317111780976508e-09,cell_type,categorical
392,1.0,2,1.0940915287937199e-05,cell_type,categorical
393,1.0,1,0.034680303287939696,cell_type,categorical
394,1.0,2,0.02191061981308934,G2M_score,continuous
395,1.0,1,0.0313672252459787,pct_ribo,continuous
396,0.25,4,0.018071034785644948,Oxidative_Phosphorylation,continuous
397,0.5,3,3.100501083286646e-09,cell_type,categorical
398,1.0,1,5.838239011204651e-06,cell_type,categorical
400,0.2,6,1.29847667603684e-07,cell_type,categorical
401,1.0,1,0.008518675403063012,cell_type,categorical
402,1.0,1,4.458741884886592e-09,cell_type,categorical
403,1.0,2,8.567727020596258e-07,cell_type,categorical
404,0.125,9,7.1253941227805574e-12,Hypoxia,continuous
406,0.2,6,3.2557315052841256e-06,cell_type,categorical
408,0.3333333333333333,4,2.2259278460958396e-09,cell_type,categorical
409,1.0,2,0.0001463854721033992,cell_type,categorical
410,1.0,1,4.306603324193323e-06,cell_type,categorical
411,0.5,3,3.9899194636311665e-08,cell_type,categorical
412,0.2,6,2.024751829022703e-06,G2M_score,continuous
413,0.125,9,6.666296920368304e-05,cell_type,categorical
414,1.0,2,3.428190886859997e-05,cell_type,categorical
415,1.0,1,0.0018960841295578832,cell_type,categorical
416,1.0,1,1.9258844385150454e-07,cell_type,categorical
417,1.0,2,0.0002476253827529891,pct_ribo,continuous
418,1.0,2,2.5307954068931447e-07,cell_type,categorical
420,0.5,3,2.593471084908662e-08,cell_type,categorical
421,0.3333333333333333,4,5.6273832553584084e-11,Inflammation_Response,continuous
422,1.0,2,6.411531630294991e-07,Inflammation_Response,continuous
423,0.125,9,4.853539456590455e-12,DNA_Repair,continuous
424,1.0,2,4.137848657119526e-05,cell_type,categorical
425,1.0,2,0.000665063882049178,Inflammation_Response,continuous
426,1.0,1,0.0021413612834838423,cell_type,categorical
427,0.3333333333333333,4,0.011909393823896074,cell_type,categorical
428,1.0,2,1.499976211436557e-05,cell_type,categorical
429,1.0,1,0.0020844884549197336,cell_type,categorical
430,0.5,3,4.200658540936385e-10,cell_type,categorical
432,0.125,9,1.9979592269356097e-08,Oxidative_Phosphorylation,continuous
433,0.5,3,2.391224963413556e-06,cell_type,categorical
434,1.0,1,9.949206568446175e-06,cell_type,categorical
435,0.5,3,5.0969156154083566e-08,Inflammation_Response,continuous
436,1.0,1,0.01085871812225953,cell_type,categorical
438,1.0,1,2.0863686323412236e-06,cell_type,categorical
439,1.0,1,7.693478813243527e-06,cell_type,categorical
440,1.0,2,3.196511471512864e-08,cell_type,categorical
441,0.125,9,0.00016966735091217025,cell_type,categorical
442,0.125,9,1.3150698399139305e-05,cell_type,categorical
443,0.25,5,1.4265150269000403e-08,cell_type,categorical
444,1.0,2,0.0004771911865439684,Inflammation_Response,continuous
445,1.0,2,1.8581633386036436e-08,Inflammation_Response,continuous
446,0.2,5,0.0023613210544207925,Apoptosis,continuous
448,1.0,1,0.006284411737254517,cell_type,categorical
449,0.14285714285714285,8,0.0009155123461974078,Inflammation_Response,continuous
450,0.5,3,0.001605378660284016,cell_type,categorical
452,0.1111111111111111,10,2.4284270176245756e-05,Apoptosis,continuous
453,0.125,9,6.4382806957284e-05,cell_type,categorical
454,0.5,3,1.3527119561988023e-08,cell_type,categorical
455,1.0,1,1.55375097173972e-10,cell_type,categorical
456,0.5,3,8.237578141388849e-10,Inflammation_Response,continuous
457,0.5,3,3.2264838035393894e-09,cell_type,categorical
458,0.5,3,1.4700467262936407e-05,cell_type,categorical
459,0.125,8,3.5640210957207764e-06,n_genes,continuous
460,0.3333333333333333,4,0.0006847912333943202,pct_mito,continuous
461,1.0,2,0.011635446607811807,cell_type,categorical
462,0.2,6,5.311427710836497e-11,cell_type,categorical
463,0.16666666666666666,7,3.928025607164661e-08,cell_type,categorical
464,1.0,2,1.902302656280458e-09,Inflammation_Response,continuous
465,0.3333333333333333,4,1.2331055284961437e-06,cell_type,categorical
466,0.125,9,4.0798800168492634e-05,cell_type,categorical
467,1.0,1,0.0039355301821600245,pct_ribo,continuous
468,0.5,3,1.8221258871051415e-08,cell_type,categorical
469,1.0,2,1.726592021481678e-05,cell_type,categorical
470,0.5,3,2.5115654136152886e-06,cell_type,categorical
471,1.0,2,0.00016434238588439233,cell_type,categorical
472,1.0,2,3.2591033461072725e-07,cell_type,categorical
473,1.0,2,0.0008522203772553904,cell_type,categorical
474,1.0,2,1.5096602515081635e-09,cell_type,categorical
475,0.16666666666666666,7,9.106264479426372e-06,cell_type,categorical
476,0.14285714285714285,8,5.378476747901015e-07,cell_type,categorical
477,0.3333333333333333,4,1.2135155275424905e-08,cell_type,categorical
479,1.0,1,0.00022471643217406164,cell_type,categorical
480,1.0,2,4.565839872171822e-05,Inflammation_Response,continuous
481,1.0,2,6.338129820293618e-05,cell_type,categorical
482,0.5,3,0.0005734012120459953,cell_type,categorical
483,0.5,3,8.709009852114303e-12,cell_type,categorical
484,0.14285714285714285,7,6.572638392795113e-06,n_genes,continuous
485,1.0,2,1.2638986803183812e-06,cell_type,categorical
486,1.0,2,0.0024045911233622347,cell_type,categorical
487,0.125,9,3.2498738203038438e-06,Hypoxia,continuous
488,0.3333333333333333,4,3.704884103753814e-06,cell_type,categorical
489,1.0,1,0.0003234602952677659,cell_type,categorical
490,1.0,1,7.923045963202715e-05,cell_type,categorical
491,0.5,3,3.264755116015191e-09,cell_type,categorical
492,0.5,3,6.843639498020895e-08,pct_mito,continuous
493,1.0,2,0.00010921500270283319,cell_type,categorical
494,1.0,2,0.0002450008704493344,cell_type,categorical
495,0.3333333333333333,4,4.20353632820387e-07,cell_type,categorical
496,1.0,2,5.9198832332452775e-05,cell_type,categorical
497,1.0,2,6.0174330044613055e-05,cell_type,categorical
498,0.5,3,4.3272923786621146e-08,cell_type,categorical
499,1.0,1,7.380531487261545e-06,cell_type,categorical
500,1.0,2,0.0004036878482024182,cell_type,categorical
501,0.5,3,3.8317919268896274e-05,cell_type,categorical
502,1.0,2,0.0034139657530205,cell_type,categorical
503,0.25,5,2.2990873817695527e-08,Inflammation_Response,continuous
504,1.0,2,0.0008976129659461318,cell_type,categorical
505,0.2,6,1.6916897275300035e-07,Oxidative_Phosphorylation,continuous
506,1.0,2,6.033591285661438e-09,cell_type,categorical
507,0.125,9,1.0895509127956068e-09,pct_mito,continuous
508,0.5,3,1.436142569270413e-06,cell_type,categorical
510,0.14285714285714285,8,3.489631847093077e-10,Oxidative_Phosphorylation,continuous
512,0.125,9,4.647299107993748e-14,n_counts,continuous
