feature_idx,pca_x,pca_y,sparsity,activation_mean,activation_std,specificity_score,n_associations,strongest_qvalue,strongest_association,attr_type
94,2.8159323,-0.59944123,0.22,0.17716134,0.16372113,1.0,2.0,0.041470524918868525,pct_ribo,continuous
95,-7.2412963,-0.3808843,0.99,0.0007510877,0.0074732155,0.1,11.0,6.174478969289589e-37,n_genes,continuous
96,-4.879359,-0.025912574,0.57,0.03942863,0.066861495,0.0,,,None,
97,-6.575299,0.19995998,0.82,0.013638191,0.04106729,0.125,8.0,8.33047599381224e-08,Oxidative_Phosphorylation,continuous
98,0.3149719,1.0265325,0.19,0.13047993,0.12099156,0.0,,,None,
99,-3.8935902,0.14599745,0.44,0.056587677,0.07892774,1.0,1.0,0.0009208606901395391,cell_type,categorical
100,-4.5047226,3.234749,0.78,0.061626326,0.15295777,0.14285714285714285,7.0,4.413546847864683e-06,DNA_Repair,continuous
101,-1.6896837,-3.1010456,0.37,0.097027026,0.10476515,0.5,3.0,1.5571758984715158e-06,cell_type,categorical
102,-5.0917807,0.74853575,0.65,0.03817947,0.07194874,0.1111111111111111,9.0,0.0005699657882250288,n_genes,continuous
103,-5.08024,-0.49564424,0.64,0.040982384,0.071818426,0.3333333333333333,4.0,1.3847306930910563e-05,cell_type,categorical
104,2.5748656,6.325865,0.24,0.17106621,0.16513026,1.0,2.0,6.823166259812119e-08,cell_type,categorical
105,-2.194656,0.29388145,0.37,0.08562548,0.09482474,1.0,2.0,0.0002476706667309695,cell_type,categorical
106,0.72089195,0.18970442,0.18,0.1377343,0.122910194,1.0,1.0,0.0022993104292796857,cell_type,categorical
107,1.0492952,-4.3146615,0.34,0.13878776,0.16097444,0.5,3.0,2.4499535646644644e-08,cell_type,categorical
108,-6.9954596,-0.38451812,0.95,0.0061060893,0.030887205,0.125,10.0,1.865983720068593e-24,n_counts,continuous
109,-5.3779507,-0.60001326,0.69,0.034625567,0.06310289,1.0,2.0,3.078086837861638e-05,cell_type,categorical
110,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
111,-4.0253587,3.2152727,0.65,0.05659117,0.102919884,0.2,6.0,3.122199040589371e-09,Inflammation_Response,continuous
112,-0.92940444,0.093184285,0.17,0.11292702,0.10039914,1.0,1.0,0.008141235994094971,Inflammation_Response,continuous
113,15.561748,-10.775967,0.12,0.36302793,0.23298265,1.0,2.0,1.1368687183973052e-08,cell_type,categorical
114,-3.4104078,-2.0942981,0.48,0.061797824,0.082230955,1.0,1.0,0.00961728991316066,cell_type,categorical
115,4.861601,-2.4972222,0.1,0.21903248,0.18380868,0.5,3.0,7.074618589108611e-12,Inflammation_Response,continuous
116,-3.916611,0.02344699,0.45,0.065107256,0.081037626,1.0,1.0,0.0036450174448325063,cell_type,categorical
117,-2.097574,0.8119094,0.36,0.08420948,0.08955473,0.3333333333333333,4.0,0.00012975172805079698,cell_type,categorical
118,-6.929234,-0.2421848,0.91,0.0089884065,0.039546832,0.1111111111111111,10.0,1.9598470282078197e-17,n_genes,continuous
119,3.3376822,-2.4354444,0.17,0.17656954,0.1674029,1.0,1.0,2.543061044162223e-07,cell_type,categorical
120,0.14910552,5.2184935,0.33,0.13942698,0.1435227,1.0,2.0,1.7501128722974228e-06,cell_type,categorical
121,-3.1249924,-1.2286915,0.43,0.07951845,0.106050834,0.5,3.0,2.6017025435531494e-06,cell_type,categorical
122,-4.430034,-0.43351492,0.59,0.05078814,0.08347107,0.5,3.0,0.0013108179128396944,cell_type,categorical
123,-2.1893387,0.02699009,0.39,0.09856731,0.12834601,1.0,2.0,5.332968389922468e-05,cell_type,categorical
124,-6.692873,-0.28497845,0.93,0.009718691,0.04654135,0.25,4.0,5.391322056394445e-07,pct_mito,continuous
125,-2.684618,-2.1489067,0.47,0.07326562,0.09925319,1.0,2.0,5.089613771322173e-05,cell_type,categorical
126,1.2190349,-3.2223449,0.29,0.14009933,0.12956722,1.0,2.0,0.008167989895871218,pct_ribo,continuous
127,-6.24675,-0.42169845,0.84,0.018410869,0.050946787,0.5,3.0,0.00017189488252964267,cell_type,categorical
128,-3.9812121,-1.9807649,0.48,0.055671778,0.07631505,0.5,3.0,8.833963928167524e-06,cell_type,categorical
129,3.5095558,1.6176395,0.11,0.19126679,0.13868342,0.5,2.0,0.0005081782106202679,cell_type,categorical
130,-2.526509,2.7755535,0.52,0.08014426,0.10953193,0.2,6.0,3.4559159926191485e-08,Inflammation_Response,continuous
131,-3.5535,3.2157946,0.6,0.06246405,0.09295655,0.2,6.0,5.67864068906468e-16,Inflammation_Response,continuous
132,-0.87014616,-3.3177562,0.31,0.10906912,0.102389745,1.0,2.0,0.00034905590504850464,cell_type,categorical
133,-7.245315,-0.35650027,0.99,0.0006505877,0.006473268,0.1111111111111111,10.0,1.5958897425460516e-39,n_counts,continuous
134,-5.8751826,0.90760833,0.84,0.023508226,0.065219864,0.125,8.0,2.3839253359145816e-07,n_genes,continuous
135,1.4342191,-1.4717492,0.29,0.15905304,0.1729087,0.5,3.0,6.415370763046457e-06,cell_type,categorical
136,1.5046716,-2.2256913,0.18,0.15190142,0.12442893,1.0,1.0,4.158125236273079e-06,cell_type,categorical
137,-2.970456,0.8221661,0.45,0.07157725,0.092235595,0.5,3.0,9.170694582000927e-09,cell_type,categorical
138,-5.1651254,0.88462704,0.68,0.046839505,0.09933171,0.25,5.0,4.188034585832891e-06,cell_type,categorical
139,-3.8702466,4.1859827,0.71,0.058178682,0.11524441,0.1111111111111111,11.0,3.1346730131101175e-08,Inflammation_Response,continuous
140,1.4824405,-1.8014649,0.07,0.14984518,0.10692292,1.0,1.0,0.040645273132639506,cell_type,categorical
141,4.7913537,-2.076823,0.21,0.2104183,0.18301472,1.0,2.0,2.3262993221676577e-10,cell_type,categorical
142,-4.892663,-0.22189008,0.63,0.04628777,0.080000974,0.16666666666666666,7.0,1.2410975732267751e-06,S_score,continuous
143,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
144,-6.525321,-0.83621943,0.79,0.013017557,0.035504255,0.125,9.0,1.902967761134799e-11,Apoptosis,continuous
145,7.6778636,-5.7642207,0.17,0.23891233,0.19516316,1.0,2.0,4.73427527911144e-05,cell_type,categorical
146,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
147,-4.645756,0.13065656,0.55,0.053900093,0.08982977,0.5,3.0,0.000505732939263269,cell_type,categorical
148,6.533971,1.987122,0.14,0.22303289,0.13484117,1.0,2.0,8.154511297565604e-05,pct_ribo,continuous
149,-1.7962779,-2.5083072,0.46,0.09389264,0.11751125,1.0,2.0,1.545340218254763e-07,cell_type,categorical
150,0.89162046,4.5310283,0.26,0.15932897,0.1790102,1.0,1.0,4.932965444971056e-05,cell_type,categorical
151,9.345937,6.36622,0.08,0.27302572,0.181938,1.0,2.0,2.707450109765204e-08,cell_type,categorical
152,-0.26860934,-0.43348145,0.23,0.12924132,0.13283254,1.0,2.0,0.0015801500915810834,cell_type,categorical
153,-4.231153,4.0563436,0.72,0.05003489,0.1049295,0.1111111111111111,10.0,1.5093958730659805e-06,Inflammation_Response,continuous
154,-3.13175,-0.21265037,0.44,0.074403726,0.10144293,1.0,1.0,1.2482993079034987e-05,cell_type,categorical
155,8.011051,-5.8233294,0.14,0.25938356,0.17896459,0.3333333333333333,4.0,3.500116328478495e-08,cell_type,categorical
156,2.357203,-5.214042,0.28,0.16159433,0.151213,1.0,2.0,7.210299493558541e-08,cell_type,categorical
157,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
158,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
159,1.3048954,-3.941066,0.38,0.14424351,0.16752867,0.5,3.0,6.339386838012465e-10,cell_type,categorical
160,-4.6901174,-1.1405884,0.68,0.0442075,0.09257026,1.0,1.0,0.03239780132190008,Inflammation_Response,continuous
161,-3.4668255,-2.0006008,0.61,0.06153534,0.10056131,1.0,1.0,0.00015605621286380136,cell_type,categorical
162,-0.7645988,0.88245726,0.4,0.105290405,0.10683321,0.5,3.0,1.8802115431849827e-09,cell_type,categorical
163,2.8460774,1.685773,0.2,0.16792217,0.14487381,1.0,1.0,0.011814319867689337,cell_type,categorical
164,4.5051665,4.415495,0.28,0.21700734,0.22095242,1.0,1.0,4.901506985315819e-07,cell_type,categorical
165,-1.1281009,4.3894463,0.51,0.114039324,0.1619514,0.5,3.0,0.001496002037151225,pct_ribo,continuous
166,-1.7164043,-2.038246,0.36,0.09774381,0.11203331,1.0,2.0,0.0015967661944400137,cell_type,categorical
167,-0.7211205,-2.238837,0.33,0.10525009,0.10721497,1.0,1.0,0.021709345044246733,cell_type,categorical
168,1.1842959,-5.3992434,0.41,0.13293336,0.16096406,1.0,2.0,2.5412342544820447e-09,cell_type,categorical
169,20.07297,11.318055,0.02,0.4585766,0.2634678,0.5,3.0,5.745156125229768e-07,cell_type,categorical
170,-6.635141,-0.7991404,0.85,0.011425367,0.041034788,0.1111111111111111,10.0,9.706329775265187e-13,n_genes,continuous
171,6.520591,-0.15043004,0.11,0.22360586,0.13420339,1.0,2.0,0.000206434113811233,cell_type,categorical
172,-6.355746,-0.28685656,0.81,0.022194434,0.06427204,0.14285714285714285,8.0,0.00020099932321717963,DNA_Repair,continuous
173,-1.7845306,6.667023,0.55,0.093121335,0.14322878,0.25,5.0,4.70791703542414e-09,cell_type,categorical
174,12.566287,-7.175864,0.17,0.3182499,0.2180279,0.5,3.0,4.1939905341498195e-09,cell_type,categorical
175,0.8728567,0.21935125,0.28,0.13861948,0.13411896,1.0,2.0,0.02817853382455367,cell_type,categorical
176,-2.4942367,-2.6169367,0.47,0.07997568,0.11044327,1.0,1.0,0.004026541292119413,Inflammation_Response,continuous
177,-0.654345,1.6536673,0.3,0.12571909,0.13705923,1.0,2.0,8.325900990752632e-05,cell_type,categorical
178,9.476336,8.493698,0.18,0.30584258,0.26470664,1.0,2.0,4.411460247980715e-08,cell_type,categorical
179,-4.3418765,0.31923223,0.7,0.067463376,0.13871759,0.2,6.0,8.799319161147275e-11,cell_type,categorical
180,8.199155,-2.0716367,0.04,0.2603431,0.15635489,1.0,2.0,0.00026446724273693976,cell_type,categorical
181,12.548857,-6.3950086,0.03,0.32688385,0.20258373,1.0,2.0,0.0003618503727286967,cell_type,categorical
182,4.3873267,1.6428666,0.19,0.19574209,0.16923973,1.0,2.0,0.00010302025285973311,Inflammation_Response,continuous
183,0.3439254,-2.4592423,0.49,0.11896774,0.1636088,1.0,2.0,5.827946706239822e-09,cell_type,categorical
184,10.961097,10.018443,0.1,0.31567535,0.24977385,0.5,3.0,5.409741472243392e-10,cell_type,categorical
185,-6.367742,-0.94699454,0.8,0.01727525,0.05447977,0.2,6.0,1.2850520482642944e-05,pct_ribo,continuous
186,2.5934901,-7.2168803,0.78,0.14602835,0.32524216,0.1111111111111111,10.0,5.645683964855556e-07,n_counts,continuous
187,3.4437983,1.0998944,0.16,0.18553598,0.1513887,0.0,,,None,
188,-2.7973604,2.6359797,0.41,0.08315299,0.10343473,1.0,1.0,0.005472126837912888,cell_type,categorical
189,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
190,-5.290975,1.4008353,0.7,0.03406703,0.07567468,0.16666666666666666,7.0,0.003587888464477935,n_counts,continuous
191,0.5277554,-3.090756,0.55,0.13245033,0.18131682,0.3333333333333333,4.0,7.015543076329714e-10,cell_type,categorical
192,-0.6960873,-2.2332082,0.36,0.11731057,0.13402371,0.5,3.0,1.416122415129446e-08,cell_type,categorical
193,-1.3781704,0.32793424,0.33,0.098159425,0.10650387,1.0,1.0,3.315893767840986e-06,cell_type,categorical
194,-6.8997507,-0.49129406,0.91,0.0072135525,0.028605966,0.125,9.0,2.4938499482406473e-17,n_genes,continuous
195,-1.9543096,2.109995,0.37,0.087711714,0.10777721,1.0,1.0,1.8432096129857383e-05,pct_ribo,continuous
196,-3.819404,2.4317524,0.5,0.059647214,0.08567978,1.0,2.0,0.0006092341390603262,cell_type,categorical
197,0.41366628,-0.6768186,0.17,0.12438937,0.09931037,0.0,,,None,
198,-7.004749,-0.15373597,0.93,0.0068007135,0.03536023,0.1111111111111111,10.0,8.675911768977778e-23,Oxidative_Phosphorylation,continuous
199,-1.4030793,-1.3089902,0.39,0.10396468,0.12423964,0.5,3.0,4.236182922425441e-06,cell_type,categorical
200,1.2486724,-3.1797569,0.33,0.1423318,0.17479956,1.0,1.0,0.00034672208343819466,cell_type,categorical
201,-0.36689603,-2.2124825,0.35,0.11562422,0.12760308,0.5,3.0,2.5294292467130013e-08,cell_type,categorical
202,-4.4852204,2.031795,0.59,0.05529305,0.09128409,0.0,,,None,
203,-0.93713695,0.18567112,0.27,0.11382892,0.13106765,1.0,2.0,0.00477265409169807,cell_type,categorical
204,-3.9823344,2.583933,0.48,0.06440239,0.092989326,0.5,3.0,0.0022376763602724135,cell_type,categorical
205,-5.356113,-0.88241524,0.64,0.03415159,0.065073475,0.125,9.0,3.963128979991938e-05,n_counts,continuous
206,3.943758,2.0417867,0.24,0.18616177,0.1441359,0.25,5.0,5.546977401349721e-10,cell_type,categorical
207,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
208,-1.881593,2.5827067,0.5,0.09464273,0.122608356,1.0,2.0,0.0017178898269358232,cell_type,categorical
209,0.7642408,7.174845,0.36,0.13435675,0.15968916,0.5,3.0,2.0336387135674566e-07,cell_type,categorical
210,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
211,-0.16581953,4.0702567,0.34,0.118261985,0.12190219,1.0,2.0,7.837665754985519e-07,cell_type,categorical
212,5.0074,-1.8850379,0.1,0.22265585,0.16218384,0.5,3.0,2.2394373658632248e-08,cell_type,categorical
213,6.0062118,-3.6746047,0.16,0.21827427,0.16465455,1.0,2.0,0.016151110718510088,pct_ribo,continuous
214,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
215,-3.84416,-0.016090078,0.54,0.05822798,0.08455435,0.2,6.0,8.298827385079743e-09,cell_type,categorical
216,-1.1896645,-1.1486708,0.24,0.10019003,0.08851465,1.0,1.0,0.007402251734925432,cell_type,categorical
217,19.102741,2.9056292,0.0,0.43915215,0.15920083,1.0,2.0,6.443299922559172e-07,cell_type,categorical
218,-6.4296746,-1.0565387,0.9,0.013361425,0.047497768,0.14285714285714285,7.0,4.19765890821944e-08,Apoptosis,continuous
219,-0.54595804,-2.381469,0.45,0.11515433,0.13997658,1.0,2.0,2.3935987212472692e-05,cell_type,categorical
220,-6.008499,0.8234226,0.8,0.027759815,0.06429308,0.14285714285714285,8.0,8.661217167512034e-07,Oxidative_Phosphorylation,continuous
221,11.232458,-1.5543846,0.09,0.2972584,0.16927724,1.0,1.0,0.0007973434265343718,cell_type,categorical
222,-5.8276305,-0.6764272,0.78,0.027054098,0.06382052,0.3333333333333333,4.0,0.00015608529810362106,cell_type,categorical
223,3.7178018,-4.6858964,0.31,0.17972198,0.17982195,1.0,2.0,0.004216879644674839,cell_type,categorical
224,-0.8905644,2.8491926,0.43,0.11861206,0.14184332,1.0,2.0,0.005651895039866614,cell_type,categorical
225,6.573768,1.48696,0.16,0.25317556,0.2403352,0.3333333333333333,4.0,7.078511012579668e-08,cell_type,categorical
226,8.706883,-6.015075,0.17,0.2810694,0.19992748,0.5,4.0,5.0883834743037105e-11,cell_type,categorical
227,2.6037693,-3.6082175,0.2,0.15850765,0.15052825,1.0,2.0,1.0896270077640928e-08,cell_type,categorical
228,0.41582993,-3.6139884,0.32,0.12252331,0.13080092,1.0,2.0,1.483340861401978e-06,cell_type,categorical
229,2.4977722,1.015024,0.26,0.16184162,0.14253591,0.3333333333333333,4.0,1.2606061281097325e-06,cell_type,categorical
230,-4.8816123,-0.49291784,0.69,0.040602807,0.08783613,0.16666666666666666,7.0,4.925908742322698e-05,Apoptosis,continuous
231,-5.0246916,0.26284683,0.73,0.049094383,0.11673248,0.25,5.0,5.873027148502129e-08,Oxidative_Phosphorylation,continuous
232,4.060673,-5.889373,0.26,0.18236294,0.1653059,1.0,2.0,5.359177856868912e-07,cell_type,categorical
233,-0.12258533,1.9949305,0.3,0.12826928,0.13293622,1.0,1.0,5.129822559404947e-05,cell_type,categorical
234,2.2693517,2.2707522,0.19,0.16035897,0.12212329,1.0,1.0,0.009819422749741947,cell_type,categorical
235,6.0140667,-2.2960732,0.21,0.2127479,0.16844346,1.0,1.0,6.959526713108734e-11,cell_type,categorical
236,-6.651187,-0.5094424,0.86,0.011184327,0.034923047,0.1111111111111111,10.0,2.4112714293804834e-13,n_genes,continuous
237,3.7211876,1.675852,0.15,0.19654234,0.13443346,1.0,1.0,3.734160962591018e-05,cell_type,categorical
