,feature,variable,type,effect_size,pval,padj,abs_effect_size
36115,F8056,cell_type,categorical,0.8295644756457453,0.0,0.0,0.8295644756457453
34976,F4529,cell_type,categorical,0.8285390351591617,0.0,0.0,0.8285390351591617
37667,F2512,tissue,categorical,0.8281066930048103,0.0,0.0,0.8281066930048103
34873,F4199,cell_type,categorical,0.8280398530754712,0.0,0.0,0.8280398530754712
33826,F1052,cell_type,categorical,0.8280369065205793,0.0,0.0,0.8280369065205793
35506,F6177,cell_type,categorical,0.8276595844665259,0.0,0.0,0.8276595844665259
34632,F3473,cell_type,categorical,0.8260142313253126,0.0,0.0,0.8260142313253126
34001,F1557,cell_type,categorical,0.8246090683737375,0.0,0.0,0.8246090683737375
34324,F2521,cell_type,categorical,0.8234931703762114,0.0,0.0,0.8234931703762114
33491,F32,cell_type,categorical,0.8226607995652008,0.0,0.0,0.8226607995652008
34865,F4172,cell_type,categorical,0.8214919878605954,0.0,0.0,0.8214919878605954
35172,F5169,cell_type,categorical,0.819590874430355,0.0,0.0,0.819590874430355
34598,F3360,cell_type,categorical,0.8153378054738529,0.0,0.0,0.8153378054738529
35784,F7047,cell_type,categorical,0.8153292613622535,0.0,0.0,0.8153292613622535
36224,F8392,cell_type,categorical,0.8131930681745118,0.0,0.0,0.8131930681745118
35723,F6871,cell_type,categorical,0.812797373680899,0.0,0.0,0.812797373680899
34422,F2839,cell_type,categorical,0.8126781295519522,0.0,0.0,0.8126781295519522
34595,F3349,cell_type,categorical,0.8125014688650455,0.0,0.0,0.8125014688650455
35196,F5248,cell_type,categorical,0.812382970870291,0.0,0.0,0.812382970870291
35660,F6682,cell_type,categorical,0.8121068162389082,0.0,0.0,0.8121068162389082
35563,F6381,cell_type,categorical,0.8083826026097592,0.0,0.0,0.8083826026097592
35890,F7376,cell_type,categorical,0.8074062366328527,0.0,0.0,0.8074062366328527
36196,F8295,cell_type,categorical,0.8069217817104571,0.0,0.0,0.8069217817104571
35465,F6054,cell_type,categorical,0.8062638618416303,0.0,0.0,0.8062638618416303
34282,F2374,cell_type,categorical,0.8054313111016339,0.0,0.0,0.8054313111016339
35178,F5192,cell_type,categorical,0.8050844721554916,0.0,0.0,0.8050844721554916
36170,F8215,cell_type,categorical,0.802302488444812,0.0,0.0,0.802302488444812
35964,F7610,cell_type,categorical,0.8010252935542365,0.0,0.0,0.8010252935542365
36533,F9305,cell_type,categorical,0.8009506397532128,0.0,0.0,0.8009506397532128
34199,F2133,cell_type,categorical,0.8005300432942211,0.0,0.0,0.8005300432942211
33654,F508,cell_type,categorical,0.7995233202358589,0.0,0.0,0.7995233202358589
36370,F8793,cell_type,categorical,0.7980032590935635,0.0,0.0,0.7980032590935635
36292,F8557,cell_type,categorical,0.7966892590529494,0.0,0.0,0.7966892590529494
33834,F1079,cell_type,categorical,0.79618833205157,0.0,0.0,0.79618833205157
33957,F1427,cell_type,categorical,0.7955783730163805,0.0,0.0,0.7955783730163805
34022,F1622,cell_type,categorical,0.7951014195729459,0.0,0.0,0.7951014195729459
35393,F5817,cell_type,categorical,0.7946892348407452,0.0,0.0,0.7946892348407452
35806,F7147,cell_type,categorical,0.794073855304113,0.0,0.0,0.794073855304113
35361,F5727,cell_type,categorical,0.7937677573075599,0.0,0.0,0.7937677573075599
33566,F258,cell_type,categorical,0.7916210728621632,0.0,0.0,0.7916210728621632
35023,F4676,cell_type,categorical,0.7912827873398783,0.0,0.0,0.7912827873398783
37594,F2278,tissue,categorical,0.7907845594550439,0.0,0.0,0.7907845594550439
35772,F7001,cell_type,categorical,0.790251964490646,0.0,0.0,0.790251964490646
36061,F7894,cell_type,categorical,0.7898119011530073,0.0,0.0,0.7898119011530073
36333,F8674,cell_type,categorical,0.7897914363049862,0.0,0.0,0.7897914363049862
34228,F2234,cell_type,categorical,0.7890268670252538,0.0,0.0,0.7890268670252538
36358,F8759,cell_type,categorical,0.7887757601926914,0.0,0.0,0.7887757601926914
34430,F2863,cell_type,categorical,0.7855722395239241,0.0,0.0,0.7855722395239241
34193,F2104,cell_type,categorical,0.7850353134434205,0.0,0.0,0.7850353134434205
36540,F9336,cell_type,categorical,0.7822975833063122,0.0,0.0,0.7822975833063122
36357,F8758,cell_type,categorical,0.7818651280124156,0.0,0.0,0.7818651280124156
35995,F7704,cell_type,categorical,0.7811200023698323,0.0,0.0,0.7811200023698323
34032,F1656,cell_type,categorical,0.7810170915613235,0.0,0.0,0.7810170915613235
33714,F687,cell_type,categorical,0.779519296646922,0.0,0.0,0.779519296646922
34319,F2512,cell_type,categorical,0.7785083802667372,0.0,0.0,0.7785083802667372
35059,F4813,cell_type,categorical,0.7780128506443902,0.0,0.0,0.7780128506443902
33644,F482,cell_type,categorical,0.7771804722212198,0.0,0.0,0.7771804722212198
35407,F5889,cell_type,categorical,0.7767848142865248,0.0,0.0,0.7767848142865248
34825,F4063,cell_type,categorical,0.7766525023126863,0.0,0.0,0.7766525023126863
34812,F4027,cell_type,categorical,0.7760692837136599,0.0,0.0,0.7760692837136599
34829,F4073,cell_type,categorical,0.7759719421024253,0.0,0.0,0.7759719421024253
35941,F7539,cell_type,categorical,0.7755056207824796,0.0,0.0,0.7755056207824796
34827,F4068,cell_type,categorical,0.7754929967256649,0.0,0.0,0.7754929967256649
36086,F7966,cell_type,categorical,0.7724887058938048,0.0,0.0,0.7724887058938048
35548,F6326,cell_type,categorical,0.772172328565371,0.0,0.0,0.772172328565371
36519,F9246,cell_type,categorical,0.7721552915875197,0.0,0.0,0.7721552915875197
34859,F4152,cell_type,categorical,0.7712805212233804,0.0,0.0,0.7712805212233804
34358,F2632,cell_type,categorical,0.769912478222863,0.0,0.0,0.769912478222863
34405,F2785,cell_type,categorical,0.7687866243959821,0.0,0.0,0.7687866243959821
34936,F4415,cell_type,categorical,0.7684504592116579,0.0,0.0,0.7684504592116579
33572,F282,cell_type,categorical,0.7680546560327437,0.0,0.0,0.7680546560327437
35860,F7292,cell_type,categorical,0.7679054912958371,0.0,0.0,0.7679054912958371
36517,F9235,cell_type,categorical,0.7670902193678777,0.0,0.0,0.7670902193678777
33629,F444,cell_type,categorical,0.7669645263396478,0.0,0.0,0.7669645263396478
35733,F6896,cell_type,categorical,0.7650637776640828,0.0,0.0,0.7650637776640828
36121,F8067,cell_type,categorical,0.7636958035307556,0.0,0.0,0.7636958035307556
34097,F1827,cell_type,categorical,0.7623181441028971,0.0,0.0,0.7623181441028971
33744,F777,cell_type,categorical,0.7622437324085773,0.0,0.0,0.7622437324085773
35484,F6104,cell_type,categorical,0.7618971863298563,0.0,0.0,0.7618971863298563
35379,F5774,cell_type,categorical,0.761202710037654,0.0,0.0,0.761202710037654
36276,F8516,cell_type,categorical,0.7602543616228441,0.0,0.0,0.7602543616228441
33655,F509,cell_type,categorical,0.759995403700581,0.0,0.0,0.759995403700581
35985,F7670,cell_type,categorical,0.7581796686414728,0.0,0.0,0.7581796686414728
36670,F9788,cell_type,categorical,0.7573830996706145,0.0,0.0,0.7573830996706145
36273,F8505,cell_type,categorical,0.7562898406888243,0.0,0.0,0.7562898406888243
35529,F6258,cell_type,categorical,0.7562210746229397,0.0,0.0,0.7562210746229397
33578,F300,cell_type,categorical,0.7557231606039494,0.0,0.0,0.7557231606039494
36328,F8663,cell_type,categorical,0.7544990999891584,0.0,0.0,0.7544990999891584
35166,F5149,cell_type,categorical,0.7541517019064262,0.0,0.0,0.7541517019064262
36791,F10165,cell_type,categorical,0.7541253279124346,0.0,0.0,0.7541253279124346
36019,F7774,cell_type,categorical,0.7538517144643208,0.0,0.0,0.7538517144643208
35991,F7695,cell_type,categorical,0.7531959454188898,0.0,0.0,0.7531959454188898
36515,F9230,cell_type,categorical,0.7516620755786971,0.0,0.0,0.7516620755786971
35557,F6355,cell_type,categorical,0.7515286466701553,0.0,0.0,0.7515286466701553
35255,F5419,cell_type,categorical,0.750286890014603,0.0,0.0,0.750286890014603
34693,F3664,cell_type,categorical,0.7500435329543238,0.0,0.0,0.7500435329543238
35472,F6078,cell_type,categorical,0.7447693055491001,0.0,0.0,0.7447693055491001
34331,F2543,cell_type,categorical,0.7445953331318215,0.0,0.0,0.7445953331318215
35683,F6744,cell_type,categorical,0.743603627941868,0.0,0.0,0.743603627941868
35279,F5484,cell_type,categorical,0.7432569703421656,0.0,0.0,0.7432569703421656
33480,F4,cell_type,categorical,0.7432151321701286,0.0,0.0,0.7432151321701286
33728,F723,cell_type,categorical,0.7419198065919529,0.0,0.0,0.7419198065919529
38485,F5021,tissue,categorical,0.7405194741601409,0.0,0.0,0.7405194741601409
17089,F1063,n_counts,continuous,0.7387758493423462,0.0,0.0,0.7387758493423462
34529,F3149,cell_type,categorical,0.7385926079936261,0.0,0.0,0.7385926079936261
34771,F3906,cell_type,categorical,0.7380362833527331,0.0,0.0,0.7380362833527331
36480,F9108,cell_type,categorical,0.7358099785238753,0.0,0.0,0.7358099785238753
33824,F1049,cell_type,categorical,0.7342580773264783,0.0,0.0,0.7342580773264783
35160,F5107,cell_type,categorical,0.7330367907199912,0.0,0.0,0.7330367907199912
35384,F5791,cell_type,categorical,0.7306168051389172,0.0,0.0,0.7306168051389172
34576,F3301,cell_type,categorical,0.7303173096715727,0.0,0.0,0.7303173096715727
33896,F1247,cell_type,categorical,0.7295739909143513,0.0,0.0,0.7295739909143513
38734,F5797,tissue,categorical,0.729429751523015,0.0,0.0,0.729429751523015
34863,F4169,cell_type,categorical,0.7283230377529814,0.0,0.0,0.7283230377529814
41833,F5021,tissue_general,categorical,0.7282252871606409,0.0,0.0,0.7282252871606409
33956,F1426,cell_type,categorical,0.7282238336530293,0.0,0.0,0.7282238336530293
36110,F8038,cell_type,categorical,0.7278809826784346,0.0,0.0,0.7278809826784346
36727,F9968,cell_type,categorical,0.7267714165116417,0.0,0.0,0.7267714165116417
34977,F4532,cell_type,categorical,0.7250838745425218,0.0,0.0,0.7250838745425218
33909,F1292,cell_type,categorical,0.7234701083570442,0.0,0.0,0.7234701083570442
34804,F4000,cell_type,categorical,0.7216356166229834,0.0,0.0,0.7216356166229834
36571,F9439,cell_type,categorical,0.7209168501526101,0.0,0.0,0.7209168501526101
34396,F2765,cell_type,categorical,0.7208990545818266,0.0,0.0,0.7208990545818266
37398,F1717,tissue,categorical,0.7203277871854544,0.0,0.0,0.7203277871854544
34246,F2278,cell_type,categorical,0.7200963074740796,0.0,0.0,0.7200963074740796
33900,F1256,cell_type,categorical,0.7195178500499484,0.0,0.0,0.7195178500499484
34792,F3969,cell_type,categorical,0.7172076897966397,0.0,0.0,0.7172076897966397
35076,F4849,cell_type,categorical,0.7169881860885781,0.0,0.0,0.7169881860885781
33686,F603,cell_type,categorical,0.7167735964423287,0.0,0.0,0.7167735964423287
34674,F3597,cell_type,categorical,0.7165296180797232,0.0,0.0,0.7165296180797232
36150,F8156,cell_type,categorical,0.7163190507780354,0.0,0.0,0.7163190507780354
35854,F7268,cell_type,categorical,0.7162279041742279,0.0,0.0,0.7162279041742279
35037,F4727,cell_type,categorical,0.7141962370938157,0.0,0.0,0.7141962370938157
34982,F4560,cell_type,categorical,0.7137619499009467,0.0,0.0,0.7137619499009467
36159,F8190,cell_type,categorical,0.7126555343833213,0.0,0.0,0.7126555343833213
36050,F7876,cell_type,categorical,0.7120479752548629,0.0,0.0,0.7120479752548629
35039,F4731,cell_type,categorical,0.7120154834604161,0.0,0.0,0.7120154834604161
34104,F1851,cell_type,categorical,0.711590764542342,0.0,0.0,0.711590764542342
33786,F947,cell_type,categorical,0.7112878798937645,0.0,0.0,0.7112878798937645
35705,F6812,cell_type,categorical,0.7082273490375699,0.0,0.0,0.7082273490375699
34671,F3588,cell_type,categorical,0.7064034276845269,0.0,0.0,0.7064034276845269
35827,F7193,cell_type,categorical,0.7049018173848639,0.0,0.0,0.7049018173848639
36426,F8948,cell_type,categorical,0.7046989290993304,0.0,0.0,0.7046989290993304
34919,F4352,cell_type,categorical,0.704542380252222,0.0,0.0,0.704542380252222
33486,F22,cell_type,categorical,0.7041242303230715,0.0,0.0,0.7041242303230715
36308,F8602,cell_type,categorical,0.7017849248398923,0.0,0.0,0.7017849248398923
33888,F1227,cell_type,categorical,0.7003426383402441,0.0,0.0,0.7003426383402441
35801,F7126,cell_type,categorical,0.7001126333768577,0.0,0.0,0.7001126333768577
35602,F6498,cell_type,categorical,0.6997442875049462,0.0,0.0,0.6997442875049462
33563,F253,cell_type,categorical,0.6982767727545571,0.0,0.0,0.6982767727545571
35442,F5976,cell_type,categorical,0.6972626346030434,0.0,0.0,0.6972626346030434
34437,F2877,cell_type,categorical,0.696890565961678,0.0,0.0,0.696890565961678
38326,F4533,tissue,categorical,0.6967895455471835,0.0,0.0,0.6967895455471835
33536,F166,cell_type,categorical,0.6963748460063879,0.0,0.0,0.6963748460063879
36740,F10026,cell_type,categorical,0.6962782203471426,0.0,0.0,0.6962782203471426
34599,F3364,cell_type,categorical,0.6962343807799596,0.0,0.0,0.6962343807799596
35072,F4844,cell_type,categorical,0.6956303567897034,0.0,0.0,0.6956303567897034
36251,F8456,cell_type,categorical,0.6931082264067076,0.0,0.0,0.6931082264067076
34566,F3265,cell_type,categorical,0.6928140392134408,0.0,0.0,0.6928140392134408
34186,F2082,cell_type,categorical,0.6920147200632825,0.0,0.0,0.6920147200632825
34679,F3626,cell_type,categorical,0.6906849381926585,0.0,0.0,0.6906849381926585
36608,F9571,cell_type,categorical,0.6900925553246328,0.0,0.0,0.6900925553246328
37971,F3442,tissue,categorical,0.6859809762484979,0.0,0.0,0.6859809762484979
34054,F1727,cell_type,categorical,0.6833027224139151,0.0,0.0,0.6833027224139151
36001,F7719,cell_type,categorical,0.6832122679802407,0.0,0.0,0.6832122679802407
33630,F445,cell_type,categorical,0.682680505884205,0.0,0.0,0.682680505884205
35512,F6206,cell_type,categorical,0.6818750591186529,0.0,0.0,0.6818750591186529
36926,F300,tissue,categorical,0.6793452758357309,0.0,0.0,0.6793452758357309
36579,F9482,cell_type,categorical,0.6791142719661104,0.0,0.0,0.6791142719661104
34912,F4329,cell_type,categorical,0.6785481862798756,0.0,0.0,0.6785481862798756
35682,F6743,cell_type,categorical,0.6784048762244973,0.0,0.0,0.6784048762244973
35944,F7543,cell_type,categorical,0.6779114823257568,0.0,0.0,0.6779114823257568
33867,F1170,cell_type,categorical,0.6775411952476753,0.0,0.0,0.6775411952476753
35390,F5813,cell_type,categorical,0.6762251825231059,0.0,0.0,0.6762251825231059
34772,F3907,cell_type,categorical,0.6747949072153042,0.0,0.0,0.6747949072153042
34063,F1750,cell_type,categorical,0.6739425951431225,0.0,0.0,0.6739425951431225
39349,F7719,tissue,categorical,0.6732386342267447,0.0,0.0,0.6732386342267447
34522,F3127,cell_type,categorical,0.6719079298699312,0.0,0.0,0.6719079298699312
36129,F8082,cell_type,categorical,0.671332581306682,0.0,0.0,0.671332581306682
35725,F6880,cell_type,categorical,0.6706937395773932,0.0,0.0,0.6706937395773932
34532,F3154,cell_type,categorical,0.669090152258362,0.0,0.0,0.669090152258362
33878,F1194,cell_type,categorical,0.6684172663517657,0.0,0.0,0.6684172663517657
36238,F8428,cell_type,categorical,0.6676223049663548,0.0,0.0,0.6676223049663548
38576,F5350,tissue,categorical,0.6670516699051311,0.0,0.0,0.6670516699051311
35479,F6092,cell_type,categorical,0.6667177725248634,0.0,0.0,0.6667177725248634
20437,F1063,n_genes,continuous,0.666693389415741,0.0,0.0,0.666693389415741
36396,F8869,cell_type,categorical,0.665442586201828,0.0,0.0,0.665442586201828
36390,F8847,cell_type,categorical,0.665297699576233,0.0,0.0,0.665297699576233
38896,F6326,tissue,categorical,0.6645940455881922,0.0,0.0,0.6645940455881922
33890,F1232,cell_type,categorical,0.664525279827979,0.0,0.0,0.664525279827979
34380,F2709,cell_type,categorical,0.6644725303129232,0.0,0.0,0.6644725303129232
34515,F3105,cell_type,categorical,0.6640052699092185,0.0,0.0,0.6640052699092185
36588,F9501,cell_type,categorical,0.6632969259257268,0.0,0.0,0.6632969259257268
35089,F4886,cell_type,categorical,0.6631545089760663,0.0,0.0,0.6631545089760663
35485,F6107,cell_type,categorical,0.6621624361561753,0.0,0.0,0.6621624361561753
39906,F9398,tissue,categorical,0.6620604358034796,0.0,0.0,0.6620604358034796
34164,F2007,cell_type,categorical,0.6619050924226872,0.0,0.0,0.6619050924226872
35200,F5268,cell_type,categorical,0.6606766807169073,0.0,0.0,0.6606766807169073
34361,F2638,cell_type,categorical,0.6591298894487543,0.0,0.0,0.6591298894487543
33974,F1478,cell_type,categorical,0.6580685219576986,0.0,0.0,0.6580685219576986
35774,F7006,cell_type,categorical,0.6576602487685823,0.0,0.0,0.6576602487685823
35651,F6658,cell_type,categorical,0.6575983851531608,0.0,0.0,0.6575983851531608
34286,F2393,cell_type,categorical,0.6568533234786817,0.0,0.0,0.6568533234786817
35770,F6997,cell_type,categorical,0.6559123671003172,0.0,0.0,0.6559123671003172
33801,F980,cell_type,categorical,0.6557168563204547,0.0,0.0,0.6557168563204547
34710,F3727,cell_type,categorical,0.6555542119268588,0.0,0.0,0.6555542119268588
34773,F3913,cell_type,categorical,0.6553663357173883,0.0,0.0,0.6553663357173883
38481,F5009,tissue,categorical,0.6540527252120586,0.0,0.0,0.6540527252120586
34393,F2754,cell_type,categorical,0.653666400714905,0.0,0.0,0.653666400714905
35779,F7038,cell_type,categorical,0.6505474388416286,0.0,0.0,0.6505474388416286
36249,F8450,cell_type,categorical,0.6491783329183805,0.0,0.0,0.6491783329183805
33864,F1165,cell_type,categorical,0.6415345729751748,0.0,0.0,0.6415345729751748
36602,F9540,cell_type,categorical,0.6412801009735912,0.0,0.0,0.6412801009735912
36473,F9086,cell_type,categorical,0.6400621874408116,0.0,0.0,0.6400621874408116
37958,F3395,tissue,categorical,0.6398037709428722,0.0,0.0,0.6398037709428722
36245,F8446,cell_type,categorical,0.6384487700174658,0.0,0.0,0.6384487700174658
35477,F6089,cell_type,categorical,0.6362428220767989,0.0,0.0,0.6362428220767989
36294,F8562,cell_type,categorical,0.6352855154549856,0.0,0.0,0.6352855154549856
35173,F5174,cell_type,categorical,0.6352144662566831,0.0,0.0,0.6352144662566831
33493,F34,cell_type,categorical,0.6342636338071662,0.0,0.0,0.6342636338071662
35032,F4712,cell_type,categorical,0.6341495571462958,0.0,0.0,0.6341495571462958
35053,F4797,cell_type,categorical,0.6328284870598951,0.0,0.0,0.6328284870598951
33640,F474,cell_type,categorical,0.6315317320089943,0.0,0.0,0.6315317320089943
33564,F254,cell_type,categorical,0.6299806708354531,0.0,0.0,0.6299806708354531
35455,F6013,cell_type,categorical,0.6297809114538221,0.0,0.0,0.6297809114538221
38109,F3879,tissue,categorical,0.6292889386377005,0.0,0.0,0.6292889386377005
36195,F8293,cell_type,categorical,0.6274202174203644,0.0,0.0,0.6274202174203644
34175,F2045,cell_type,categorical,0.6273426991198533,0.0,0.0,0.6273426991198533
36499,F9166,cell_type,categorical,0.6264366446044223,0.0,0.0,0.6264366446044223
36796,F10183,cell_type,categorical,0.6260286778749147,0.0,0.0,0.6260286778749147
34756,F3857,cell_type,categorical,0.624649688954557,0.0,0.0,0.624649688954557
34784,F3934,cell_type,categorical,0.6245527398064645,0.0,0.0,0.6245527398064645
35454,F6012,cell_type,categorical,0.6245146420315358,0.0,0.0,0.6245146420315358
34014,F1594,cell_type,categorical,0.6235846666890555,0.0,0.0,0.6235846666890555
34126,F1904,cell_type,categorical,0.6234993755004106,0.0,0.0,0.6234993755004106
33785,F941,cell_type,categorical,0.6234944474522418,0.0,0.0,0.6234944474522418
34689,F3655,cell_type,categorical,0.6203763011791349,0.0,0.0,0.6203763011791349
34131,F1924,cell_type,categorical,0.6202200609940344,0.0,0.0,0.6202200609940344
34910,F4324,cell_type,categorical,0.6200535816665022,0.0,0.0,0.6200535816665022
34547,F3194,cell_type,categorical,0.6181556688713433,0.0,0.0,0.6181556688713433
34559,F3226,cell_type,categorical,0.6173953359900768,0.0,0.0,0.6173953359900768
35439,F5970,cell_type,categorical,0.6167464763236927,0.0,0.0,0.6167464763236927
34544,F3188,cell_type,categorical,0.6156639012731573,0.0,0.0,0.6156639012731573
35817,F7177,cell_type,categorical,0.6152810601598868,0.0,0.0,0.6152810601598868
33787,F950,cell_type,categorical,0.6151667574713036,0.0,0.0,0.6151667574713036
35807,F7153,cell_type,categorical,0.6150310056775391,0.0,0.0,0.6150310056775391
34606,F3385,cell_type,categorical,0.6146562023781591,0.0,0.0,0.6146562023781591
33550,F214,cell_type,categorical,0.6146055465422521,0.0,0.0,0.6146055465422521
34300,F2442,cell_type,categorical,0.6139187433724498,0.0,0.0,0.6139187433724498
36537,F9316,cell_type,categorical,0.6135449782480085,0.0,0.0,0.6135449782480085
33797,F974,cell_type,categorical,0.6134107348495478,0.0,0.0,0.6134107348495478
34652,F3535,cell_type,categorical,0.6117990650758239,0.0,0.0,0.6117990650758239
35444,F5981,cell_type,categorical,0.6114014392361965,0.0,0.0,0.6114014392361965
